

loss 92.66057586669922:  85% 148589/174001 [15:27:18<2:38:06,  2.68it/s]
loss 95.41954040527344:  85% 148589/174001 [15:27:19<2:38:06,  2.68it/s]
loss 95.41954040527344:  85% 148590/174001 [15:27:19<2:37:51,  2.68it/s]
loss 181.29493713378906:  85% 148590/174001 [15:27:19<2:37:51,  2.68it/s]
loss 181.29493713378906:  85% 148591/174001 [15:27:19<2:38:07,  2.68it/s]
loss 99.876220703125:  85% 148591/174001 [15:27:19<2:38:07,  2.68it/s]   
loss 99.876220703125:  85% 148592/174001 [15:27:19<2:38:12,  2.68it/s]
loss 78.47013854980469:  85% 148592/174001 [15:27:20<2:38:12,  2.68it/s]
loss 78.47013854980469:  85% 148593/174001 [15:27:20<2:37:49,  2.68it/s]
loss 62.819793701171875:  85% 148593/174001 [15:27:20<2:37:49,  2.68it/s]
loss 62.819793701171875:  85% 148594/174001 [15:27:20<2:38:40,  2.67it/s]
loss 126.88837432861328:  85% 148594/174001 [15:27:20<2:38:40,  2.67it/s]
loss 126.88837432861328:  85% 148595/174001 [15:27:20<2:38:35,  2.67it/s]
loss 66.87684631347656:  85% 148595/174001 [15:27:21<2:38:35,  2.67it/s] 
loss 66.87684631347656:  85% 148596/174001 [15:27:21<2:38:38,  2.67it/s]
loss 91.53926086425781:  85% 148596/174001 [15:27:21<2:38:38,  2.67it/s]
loss 91.53926086425781:  85% 148597/174001 [15:27:21<2:38:14,  2.68it/s]
loss 98.1298599243164:  85% 148597/174001 [15:27:22<2:38:14,  2.68it/s] 
loss 98.1298599243164:  85% 148598/174001 [15:27:22<2:38:06,  2.68it/s]
loss 69.39511108398438:  85% 148598/174001 [15:27:22<2:38:06,  2.68it/s]
loss 69.39511108398438:  85% 148599/174001 [15:27:22<2:38:27,  2.67it/s]
loss 72.48690795898438:  85% 148599/174001 [15:27:22<2:38:27,  2.67it/s]
loss 72.48690795898438:  85% 148600/174001 [15:27:22<2:38:11,  2.68it/s]
loss 102.17902374267578:  85% 148600/174001 [15:27:23<2:38:11,  2.68it/s]
loss 102.17902374267578:  85% 148601/174001 [15:27:23<2:38:02,  2.68it/s]
loss 71.34184265136719:  85% 148601/174001 [15:27:23<2:38:02,  2.68it/s] 
loss 71.34184265136719:  85% 148602/174001 [15:27:23<2:38:10,  2.68it/s]
loss 121.65428924560547:  85% 148602/174001 [15:27:23<2:38:10,  2.68it/s]
loss 121.65428924560547:  85% 148603/174001 [15:27:23<2:38:07,  2.68it/s]
loss 102.3481674194336:  85% 148603/174001 [15:27:24<2:38:07,  2.68it/s] 
loss 102.3481674194336:  85% 148604/174001 [15:27:24<2:38:39,  2.67it/s]
loss 79.70482635498047:  85% 148604/174001 [15:27:24<2:38:39,  2.67it/s]
loss 79.70482635498047:  85% 148605/174001 [15:27:24<2:38:08,  2.68it/s]
loss 87.56861877441406:  85% 148605/174001 [15:27:25<2:38:08,  2.68it/s]
loss 87.56861877441406:  85% 148606/174001 [15:27:25<2:38:01,  2.68it/s]
loss 60.01560592651367:  85% 148606/174001 [15:27:25<2:38:01,  2.68it/s]
loss 60.01560592651367:  85% 148607/174001 [15:27:25<2:38:04,  2.68it/s]
loss 112.8401107788086:  85% 148607/174001 [15:27:25<2:38:04,  2.68it/s]
loss 112.8401107788086:  85% 148608/174001 [15:27:25<2:37:56,  2.68it/s]
loss 75.21320343017578:  85% 148608/174001 [15:27:26<2:37:56,  2.68it/s]
loss 75.21320343017578:  85% 148609/174001 [15:27:26<2:37:37,  2.68it/s]
loss 84.52454376220703:  85% 148609/174001 [15:27:26<2:37:37,  2.68it/s]
loss 84.52454376220703:  85% 148610/174001 [15:27:26<2:38:25,  2.67it/s]
loss 54.041831970214844:  85% 148610/174001 [15:27:26<2:38:25,  2.67it/s]
loss 54.041831970214844:  85% 148611/174001 [15:27:26<2:38:12,  2.67it/s]
